Location_url,County
https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-523-2019_CA_2019.pdf,"Colusa, Glen, Trinity"
https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-507-2019_CA_2019.pdf,Marin
https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-509-2019_CA_2019.pdf,Mendocino
https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-513-2019_CA_2019.pdf,Tulare/Kings/Visalia
https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-521-2019_CA_2019.pdf,Yolo
https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-525-2019_CA_2019.pdf,El Dorado
https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-529-2019_CA_2019.pdf,Lake
https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-530-2019_CA_2019.pdf,"Alpine, Inyo, Mono"
https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-611-2019_CA_2019.pdf,Ventura
https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-612-2019_CA_2019.pdf,Glendale
